epd,move,eval,depth,pv,engine
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,d3d4,5470,40,d3d4 c5d6 d4e5 d6e7 f3d5 b3c5 f1g1,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,b2e5,1015,40,b2e5 d5d4 d1e1 g7g6 f1g1 b3d2 e2d2,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,d1e1,967,40,d1e1 c5f8 e2c2 b3c5 f1g1 b4b3 c2c3,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,h3h4,882,40,h3h4 c5c6 f1g1 h7h5 e2e3 c6d6 d3d4,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,e2f2,835,40,e2f2 d5d4 d1e1 e6e8 f2e2 c5f8 f1g1,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,d1b1,833,40,d1b1 h7h6 b1d1 c5f8 f1g1 g8h7 e2e3,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,g2g3,828,40,g2g3 b3d4 b2d4 c5d4 e2f2 d4f2 f1f2,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,f3g4,798,40,f3g4 e6f6 g4f3 b3d4 e2f2 f6f4 d1c1,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,f3h5,786,40,f3h5 c5d6 h5f3 b3c5 e2c2 h7h5 d1c1,Stockfish 050822
6k1/6pp/4r3/p1qpp3/Pp6/1n1P1B1P/1B2Q1P1/3R1K2 w - -,e2e1,764,40,e2e1 c5d6 e1e2 b3c5 e2c2 b4b3 c2c3,Stockfish 050822
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,a2a4,144,38,a2a4 b5a4 c2a4 c4b6 a4b3 d8d7 d1e2,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,b1c3,65,38,b1c3 c4b6 c1d2 b6c4 a2a4 c4d2 d1d2,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,b1d2,42,38,b1d2 c4b6 d2f1 c8c7 f1g3 d8d7 f3d2,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,c2b3,41,38,c2b3 c4b6 c1e3 b6a4 f3d2 f6d7 d2f1,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,a2a3,28,38,a2a3 c4b6,Stockfish 15
2rq1rk1/1b2bppp/p2p1n2/1p1Pp3/1Pn1P3/5N1P/P1B2PP1/RNBQR1K1 w - -,f3d2,15,37,f3d2 c4b6 c2b3 c8c7 d2f1 d8b8 c1d2,Stockfish 15
