index,epd,old bm,sts_v6,old id,new id,test,depth,by,status,date,output file,updated by,update date,update depth,epd index check,comment,Reviewed by,Replace,Duplicate,unix analysis Time (sec) AMD 5950x 32t 16gb hash,ferdy analysis Time (sec) i7-2600 4t 512mb hash
1,1kr5/3n4/q3p2p/p2n2p1/PppB1P2/5BP1/1P2Q2P/3R2K1 w - -,f4f5,yes,STS(v1.0) Undermine.001,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,538,
2,1n5k/3q3p/pp1p2pB/5r2/1PP1Qp2/P6P/6P1/2R3K1 w - -,c4c5,yes,STS(v1.0) Undermine.002,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,2151,
3,1n6/4bk1r/1p2rp2/pP2pN1p/K1P1N2P/8/P5R1/3R4 w - -,c4c5,yes,STS(v1.0) Undermine.003,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,bm is different,ferdy,yes,,10841,
4,1nr5/1k5r/p3pqp1/3p4/1P1P1PP1/R4N2/3Q1PK1/R7 w - -,b4b5,,STS(v1.0) Undermine.004,,sts_old,36,ferdy,done,2022-11-24,yes,,,,ok,sf15 gets stuck at depth 36. Might take time to get to the next depth.,ferdy,no,,,
5,1q4k1/5p1p/p1rprnp1/3R4/N1P1P3/1P6/P5PP/3Q1R1K w - -,e4e5,yes,STS(v1.0) Undermine.006,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,207,
6,1qr1k2r/1p2bp2/pBn1p3/P2pPbpp/5P2/2P1QBPP/1P1N3R/R4K2 b k -,h5h4,yes,STS(v1.0) Undermine.007,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,463,
7,1r1b2k1/2r2ppp/p1qp4/3R1NPP/1pn1PQB1/8/PPP3R1/1K6 w - -,g5g6,yes,STS(v1.0) Undermine.008,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,1088,
8,1r1qk1nr/p3ppbp/3p2p1/1pp5/2bPP3/4B1P1/2PQNPBP/R2R2K1 w k -,e4e5,yes,STS(v1.0) Undermine.009,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,191,
9,1r1r2k1/p3n2p/b1nqpbp1/2pp4/1p3PP1/2PP1N2/PPN3BP/R1BRQ2K w - -,d3d4,yes,STS(v1.0) Undermine.010,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,450,
10,1r2n1rk/pP2q2p/P2p4/4pQ2/2P2p2/5B1P/3R1P1K/3R4 w - -,c4c5,yes,STS(v1.0) Undermine.011,,sts_old,40,unix,done,2022-10-27,yes,,,,ok,,ferdy,no,,30412,
